         4535 function calls (4405 primitive calls) in 0.072 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 manager.py:253(__get__)
        2    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 utils.py:4(utc_tzinfo_factory)
        2    0.000    0.000    0.000    0.000 {method 'startswith' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 sre_parse.py:710(literal)
        2    0.000    0.000    0.000    0.000 validators.py:275(__init__)
        2    0.000    0.000    0.000    0.000 forms.py:98(DV_maker)
        1    0.000    0.000    0.000    0.000 {delattr}
        1    0.000    0.000    0.000    0.000 query.py:460(<dictcomp>)
        2    0.000    0.000    0.000    0.000 compiler.py:37(<genexpr>)
        1    0.000    0.000    0.000    0.000 compiler.py:314(get_extra_select)
        2    0.000    0.000    0.000    0.000 __init__.py:1115(get_internal_type)
        2    0.000    0.000    0.000    0.000 {sum}
        1    0.000    0.000    0.000    0.000 query.py:1490(trim_joins)
        1    0.000    0.000    0.000    0.000 query.py:2091(__init__)
        1    0.000    0.000    0.000    0.000 {method 'split' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 {method 'set_client_encoding' of 'psycopg2.extensions.connection' objects}
        1    0.000    0.000    0.000    0.000 compiler.py:54(get_group_by)
        1    0.000    0.000    0.000    0.000 extensions.py:111(register_adapter)
        2    0.000    0.000    0.000    0.000 {max}
        1    0.000    0.000    0.000    0.000 compiler.py:999(SQLUpdateCompiler)
        2    0.000    0.000    0.000    0.000 utils.py:35(__enter__)
        1    0.000    0.000    0.000    0.000 {method 'count' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 query.py:1923(annotation_select)
        1    0.000    0.000    0.000    0.000 compiler.py:894(SQLInsertCompiler)
        1    0.000    0.000    0.000    0.000 widgets.py:177(__init__)
        1    0.000    0.000    0.000    0.000 query.py:717(promote_joins)
        1    0.000    0.000    0.000    0.000 {psycopg2._psycopg.new_type}
        1    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:64(__init__)
        1    0.000    0.000    0.000    0.000 base.py:38(get_key_func)
        1    0.000    0.000    0.000    0.000 compiler.py:983(SQLDeleteCompiler)
        1    0.000    0.000    0.000    0.000 {method 'isdigit' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 {method 'upper' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 fields.py:178(widget_attrs)
        1    0.000    0.000    0.000    0.000 query.py:1059(check_related_objects)
        1    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 lookups.py:13(_get_lookup)
        1    0.000    0.000    0.000    0.000 query.py:713(unref_alias)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 lookups.py:216(get_rhs_op)
        1    0.000    0.000    0.000    0.000 {issubclass}
        1    0.000    0.000    0.000    0.000 {method 'strip' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 {sys._getframe}
        1    0.000    0.000    0.000    0.000 query.py:1714(add_ordering)
        1    0.000    0.000    0.000    0.000 datastructures.py:131(__init__)
        1    0.000    0.000    0.000    0.000 compiler.py:1120(SQLAggregateCompiler)
        1    0.000    0.000    0.000    0.000 query.py:709(ref_alias)
        1    0.000    0.000    0.000    0.000 {method 'get_parameter_status' of 'psycopg2.extensions.connection' objects}
        1    0.000    0.000    0.000    0.000 validators.py:322(<lambda>)
        1    0.000    0.000    0.000    0.000 query.py:597(deferred_to_data)
        1    0.000    0.000    0.000    0.000 operations.py:97(set_time_zone_sql)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 query.py:1308(<genexpr>)
        1    0.000    0.000    0.000    0.000 query.py:1734(clear_ordering)
        1    0.000    0.000    0.000    0.000 validators.py:311(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:694(get_db_prep_value)
        1    0.000    0.000    0.000    0.000 operations.py:157(field_cast_sql)
        1    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {psycopg2._psycopg.new_array_type}
        1    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 query.py:1248(need_having)
        1    0.000    0.000    0.000    0.000 {function __getitem__ at 0x7fcc159418c0}


